locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Hanuman Chowk,"Rs. 15,300 - 17,085/sq. ft.",-5.08%  ,See Trends,"Rs. 17,986 - 19,335",-,-
Hira Nagar,-,-,Not Available,-,"Rs. 31,238 - 36,592",-
Hiranandani Gardens - Powai,"Rs. 23,885 - 28,645/sq. ft.",2.87%  ,See Trends,"Rs. 36,356 - 44,217","Rs. 54,400 - 66,300","Rs. 85,922 - 1,08,337"
HMPL Surya Nagar,-,-,Not Available,-,"Rs. 35,955 - 39,780",-
Industrial Area,"Rs. 12,665 - 13,770/sq. ft.",-3.99%  ,See Trends,"Rs. 19,747 - 21,991",-,-
Jagdusha Nagar,"Rs. 12,580 - 15,258/sq. ft.",0.29%  ,See Trends,"Rs. 18,819 - 20,655","Rs. 22,542 - 25,432",-
Jaydev Singh Nagar,"Rs. 11,942 - 14,280/sq. ft.",-0.63%  ,See Trends,"Rs. 22,374 - 23,465",-,-
Kanjur Marg (East),"Rs. 13,302 - 15,342/sq. ft.",2.74%  ,See Trends,"Rs. 19,168 - 22,908","Rs. 37,556 - 41,133","Rs. 48,620 - 54,698"
Kanjur Marg (west),"Rs. 14,068 - 16,192/sq. ft.",2.61%  ,See Trends,"Rs. 21,693 - 28,155","Rs. 33,808 - 38,638","Rs. 40,504 - 49,031"
Kannamwar Nagar I,-,-,Not Available,"Rs. 15,002 - 16,623",-,-
Kannamwar Nagar II,"Rs. 12,878 - 14,365/sq. ft.",-3.02%  ,See Trends,"Rs. 17,926 - 19,342",-,-
Kokan Nagar,-,-,Not Available,"Rs. 14,875 - 16,150",-,-
Kurla (East),"Rs. 12,920 - 14,918/sq. ft.",3.79%  ,See Trends,"Rs. 19,655 - 23,491","Rs. 26,010 - 35,190",-
Kurla (west),"Rs. 13,642 - 16,448/sq. ft.",1.73%  ,See Trends,"Rs. 20,318 - 25,273","Rs. 35,190 - 41,446","Rs. 57,005 - 62,594"
LBS Marg,"Rs. 12,962 - 15,428/sq. ft.",-10.96%  ,See Trends,"Rs. 20,736 - 23,770","Rs. 31,028 - 35,006","Rs. 40,200 - 42,565"
Lok Milan Colony,"Rs. 16,532 - 18,488/sq. ft.",-,Not Available,"Rs. 24,556 - 28,194","Rs. 45,140 - 50,250","Rs. 55,930 - 65,450"
Mhada Colony,"Rs. 13,132 - 15,130/sq. ft.",0.92%  ,See Trends,-,-,-
Mirashi Nagar,-,-,Not Available,"Rs. 17,503 - 21,481",-,-
Moti Nagar,"Rs. 16,108 - 17,850/sq. ft.",6.54%  ,See Trends,-,"Rs. 28,382 - 33,112",-
Mulund,"Rs. 14,110 - 16,448/sq. ft.",0.84%  ,See Trends,"Rs. 17,830 - 20,645","Rs. 28,305 - 32,130","Rs. 38,177 - 43,791"
Mulund (East),"Rs. 14,025 - 16,320/sq. ft.",0.28%  ,See Trends,"Rs. 18,730 - 21,131","Rs. 25,789 - 29,971","Rs. 33,660 - 40,205"
Mulund (West),"Rs. 14,152 - 16,532/sq. ft.",1.12%  ,See Trends,"Rs. 17,765 - 20,570","Rs. 29,716 - 33,626","Rs. 38,755 - 44,454"
